product_type,product_name,product_desc,product_price,product_brand,product_model,product_wifi,product_bluetooth,product_cpu,product_graphicscard,product_graphicsmemory,product_memory,product_storage,product_dimensions,product_weight
Desktops QWERTY,"Apple iMac 21,5'' (2017) MMQA2N/A 2,3GHz","Apple iMac 21,5'' MMQA2N/A 2,3GHz is de alles-in-één computer als je graag voordelig met het macOS besturingssysteem werkt. Kijk films in Full HD op het IPS-paneel, houd meerdere tabbladen open of gebruik Siri om antwoord te krijgen op al je vragen. Aan opslagruimte geen tekort, want met een 1 TB harde schijf aan boord heb je voldoende ruimte voor duizenden afbeeldingen en of honderden uren aan video. Via de 2 Thunderbolt 3 poorten sluit je tot wel 2 extra 4K monitoren aan voor meer werkruimte. Met het meegeleverde Magic toetsenbord en de Magic muis ga je direct aan de slag met iMac na het uitpakken en aansluiten.","1.229,-","Apple","MMQA2N/A","Wireless AC","4.0","Intel Core i5 7360U","Intel Iris Plus Graphics 640","None","8 GB","1 TB harde schijf","52,8 cm x 2,03 cm x 45 cm","5,68 kg"
Desktops QWERTY,"Acer Aspire TC-780 Core i7","De Acer Aspire TC-780 Core i7 is een desktop voor alle digitale taken en geschikt voor het hele gezin. De kinderen werken aan verslagen voor school en ouders sturen mailtjes rond en bewerken de foto's van de afgelopen vakantie. Binnen 15 seconden na het aanzetten is de desktop gebruiksklaar door de 128 GB SSD. Op de 1 TB harde schijf is ruimte genoeg voor duizenden foto's, bestanden en je digitale filmcollectie. De desktop is net zo groot als anderhalf A4'tje, waardoor je hem makkelijk ergens neerzet. Sluit een muis, toetsenbord en een monitor aan op je nieuwe aanwinst en ga meteen aan de slag.","849,-","Acer","DT.B89EH.011","Wireless AC","4.0","Intel Core i7 7700","Intel HD Graphics 630","None","8 GB","128 GB SSD + 1 TB HDD","17,5 cm x 42,55 cm x 38,14 cm","8,8 kg"
Desktops QWERTY,"Asus All-In-One ZN242IFGK-BA005T","Met de Asus All-In-One ZN242IFGK-BA005T haal je een alles in één oplossing in huis om mee te gamen, video's te bewerken of films te bekijken. Met de NVIDIA GeForce GTX 1050 videokaart aan boord speel je de meeste games op hoge instellingen of bewerk je een video zonder hapering. Omdat je computer in het scherm verwerkt zit, heb je weinig gedoe met kabels bij deze all-in-one. Met enkel een internetkabel en voedingskabel uit de pc ziet je werkplek er altijd opgeruimd uit. Installeer je programma's op de 512 GB PCIe SSD, zodat ze nog sneller laden en bewaar je overige bestanden op de 1 TB harde schijf. Met het meegeleverde toetsenbord en de muis ga je direct aan de gang.","1.699,-","Asus","90PT01Y2-M01240","Wireless AC","4.1","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","4000 MB","16 GB","512 GB SSD + 1 TB HDD","54 cm x 19,3 cm x 40,6 cm","5 kg"
Desktops QWERTY,"Apple Mac Mini 2,6GHz","","769,-","Apple","MGEN2FN/A","Wireless AC","None","Intel Core i5 4278U","Intel Iris Graphics","None","8 GB","1 TB harde schijf","19,7 cm x 19,7 cm x 3,6 cm","1,2 kg"
Desktops QWERTY,"HP Pavilion All-In-One 27-r070nd","De HP Pavillion All-In-One 27-r070nd is een All-in-One desktop waarmee je foto's bewerkt en administratie op bijhoudt. Jouw afbeeldingen zien er scherp uit op het 27 inch IPS scherm, dat een brede kijkhoek heeft. Via de DVD-speler zet jij al jouw oude vakantiefoto's over op de 1 TB HDD schijf. Voor al jouw meest gebruikte programma's gebruik je de 128 GB SSD, waarmee jouw HP Pavillion ook in ongeveer 15 seconden opstart. Je typt je geen wachtwoord meer in om te loggen op Windows. Dankzij de twee infraroodcamera's boven het Full HD scherm maak je gebruik van Windows Hello, waarmee je inlogt op basis van gezichtsherkenning.","1.099,-","HP","2ML16EA#ABH","Wireless AC","4.0","Intel Core i5 7400T","Intel HD Graphics 630","None","8 GB","128 GB SSD + 1 TB HDD","65,7 cm x 18 cm x 51,07 cm","10 kg"
Desktops QWERTY,"Lenovo ThinkCentre M710q 10MR0052MH","De Lenovo ThinkCentre M710q 10MR0052MH is een compacte desktop voor op kantoor. Deze pc is qua formaat vergelijkbaar met een a5 notitieboekje, waardoor je hem makkelijk op je bureau plaatst. Breng wat aanpassingen aan op een foto voor in de volgende presentatie, schiet een order in of maak een kwartaalrapportage op deze Lenovo. Het Windows 10 Pro besturingssysteem bewaart je data versleuteld, zodat alleen jij er toegang tot hebt. Programma's die je veel gebruikt starten in enkele seconden op via de 256 GB SSD, zodat je nooit meer lang hoeft te wachten. Bij deze desktop worden een muis en toetsenbord geleverd, dus je hebt enkel een monitor en aansluitkabels nodig om aan de slag te gaan.","729,-","Lenovo","10MR0052MH","Wireless AC","4.1","Intel Core i5 7400T","Intel HD Graphics 630","None","8 GB","256 GB SSD","17,9 cm x 18,29 cm x 3,45 cm","1,32 kg"
Desktops QWERTY,"HP All-In-One 24-e040nd","Met de HP All-In-One 24-e040nd winkel je online met Google Chrome, kijk je films op het scherm met Full HD resolutie en houd je jouw boekhouding op orde. Doordat de computer van deze all-in-one is ingebouwd in het scherm, heb je geen last van kabels of van een losse computerkast. Dankzij het IPS paneel zie je de ware kleuren van het scherm vanuit iedere hoek. Foto's en andere bestanden sla je op dankzij de opslagcapaciteit van 1 TB. Er wordt een toetsenbord en een muis meegeleverd waarmee je direct met deze desktop aan de slag gaat.","649,-","HP","1QY20EA#ABH","Wireless N, Wireless G, Wireless B","4.0","AMD A9 9400","AMD Radeon R5","None","8 GB","1 TB hardeschijf","42,52 cm x 19,69 cm x 58,42 cm","6,46 kg"
Desktops QWERTY,"Microsoft Surface Studio i7 - 16GB - 128GB + 1TB - GTX965M","De Microsoft Surface Studio is een all-in-one voor grafisch ontwerpers. Op het scherpe 28 inch beeldscherm met een resolutie van 4500 x 3000 pixels zie je elk detail van je ontwerp of design duidelijk op je netvlies. Beweeg de Surface Pen over het beeldscherm en geef zo vorm aan je volgende ontwerp. Of gebruik het toetsenbord om de all-in-one te bedienen. De Surface Studio is kantelbaar, waardoor je hem gebruikt zoals jij dat fijn vindt. Gebruik hem rechtopstaand als een computer, of leg hem neer en gebruik de Studio als tekentafel. Werk je aan een vertrouwelijk bestand? De TPM-chip en het Windows 10 Pro besturingssysteem slaan je data beveiligd op, zodat alleen jij toegang hebt.","4.017,-","Microsoft","42Q-00007","Wireless AC","4.0","Intel Core i7 6820HQ","NVIDIA GeForce GTX 965","2000 MB","16 GB","128 GB SSD + 1 TB HDD","63,735 cm x 1,25 cm x 43,89 cm","9,56 kg"
Desktops QWERTY,"HP Pavilion All-In-One 27-r085nd","De HP Pavilion All-In-One 27-r085n is een All-in-One desktop waarmee het hele gezin aan de slag gaat. Dankzij de Intel Core i7 processor bewerk je vakantievideo's in programma's als Adobe Premiere Pro. Jouw bewerkte video's bewaar je op de 1 TB HDD schijf, terwijl jij je de 256 GB SSD schijf gebruikt om deze HP in ongeveer 15 seconden op te starten. Dankzij de AMD Radeon 530 videokaart kunnen de kinderen lichte spelletjes zoals Minecraft spelen. Het 28,3 inch Full HD scherm heeft IPS, wat zorgt voor brede kijkhoeken. Zo kijk je eenvoudig mee met de persoon die achter de computer werkt. Ook typ je geen wachtwoord meer in om in te loggen op Windows. Dankzij de infrarood camera log je in op Windows op basis van gezichtsherkenning.","1.499,-","HP","2PT91EA #ABH","Wireless AC","4.2","Intel Core i7 7700T","AMD Radeon 530","None","16 GB","256 GB SSD + 1 TB HDD","65,7 cm x 18 cm x 51,07 cm","10 kg"
Desktops QWERTY,"Apple iMac 27'' (2017) MNEA2N/A 3,5 GHz 5K","Apple iMac 27'' MNEA2N/A 3,5 GHz 5K is voor grafische ontwerpers die in de hoogst mogelijke resolutie aan hun projecten werken. Op het 5K display zijn zelfs de kleinste details van je ontwerpen zichtbaar. Of maak een video in 4K met Final Cut Pro. Door de krachtige AMD Radeon Pro 575 videokaart worden zelfs de scherpste beelden vloeiend weergegeven op het beeldscherm. Sluit tot 2 4K beeldschermen aan via de Thunderbolt 3 poorten op deze iMac. Zo heb je extra veel schermruimte tot je beschikking om te multitasken. Omdat een Magic muis en toetsenbord worden meegeleverd bij iMac, ben je na het uitpakken al direct klaar om aan de slag te gaan met iMac.","2.299,-","Apple","MNEA2N/A","Wireless AC","4.0","Intel Core i5 7600","AMD Radeon Pro 575","None","8 GB","1 TB Fusion Drive","65 cm x 2,03 cm x 51,6 cm","9,54 kg"
Desktops QWERTY,"HP Omen X 900-200nd","Met De HP Omen X 900-200nd speel je games van nu en de nabije toekomst op ultra instellingen. Dankzij de Intel Core i9 processor stream je gameplay op Twitch en Youtube zonder dat jouw pc daar trager van wordt. Deze HP Omen heeft een Nvidia GeForce GTX 1080 Ti videokaart, waarmee je games in 4K resolutie speelt. Wil jij midden in de actie zitten? Sluit een VR bril aan en speel games in virtual reality. Met 32 GB werkgeheugen sluit je geen programma's meer af om jouw spellen zonder haperingen te spelen. Je start jouw HP Omen in ongeveer 15 seconden op met de 512 GB NVMe SSD schijf. Zo ben je altijd op tijd voor die multiplayer sessies.","4.499,-","HP","2PV19EA#ABH","Wireless AC","4.2","Intel Core i9 7920X","NVIDIA GeForce GTX 1080Ti","12000 MB","32 GB","512 GB SSD + 3 TB HDD","50,42 cm x 40,6 cm x 51,53 cm","28,2 kg"
