product_type,product_name,product_desc,product_price,product_brand,product_model,product_printertype,product_tech,product_maxsize,product_maxres,product_bwspeed,product_cspeed,product_memory,product_dimensions,product_weight
Inkjetprinters,"HP ENVY Photo 6234 All-in-One","De HP ENVY Photo 6234 All-in-one is een compacte inkjetprinter voor thuisgebruikers. Dankzij de hoge printsnelheid van 12 zwart-wit pagina's print je sneller dan de meeste thuisprinters. Bovendien ondersteunt het apparaat dubbelzijdig afdrukken, waardoor je papier bespaart. Door de resolutie van 4.800 bij 1.200 print je gedetailleerde foto's. Zet de randloze print optie aan en je afbeeldingen rollen zonder witranden je printer uit. Wil je meer rust in de woonkamer? Dankzij de stille modus print je apparaat rustiger met minder geluid. En printen doe je ook nog eens draadloos door je smartphone, tablet of laptop met je printer via wifi te verbinden. Maak eenvoudig een kopie via het aanraakgevoelige scherm, waarmee je direct instellingen aanpast.","89,-","HP","K7S21B","None","Inkjet","A4","4800 x 1200","12 ppm","8 ppm","0,256 GB","45,35 cm x 41 cm x 15,56 cm","6,7 kg"
Laserprinters,"HP LaserJet Pro MFP M130nw","Met deze HP LaserJet Pro MFP M130nw laserprinter op je (thuis)kantoor druk je al je opdrachten of aantekeningen eenvoudig af in zwart-wit. Dit gebeurt met een snelheid van 22 pagina's per minuut. Verstuur je printtaken draadloos via het wifi netwerk. Of maak direct draadloos contact met de printer met je smartphone of tablet door middel van wifi direct. Met een oppervlakte zo groot als een houten snijplank is de printer te plaatsen op krappe werkplekken. Druk op de printknop en de printer gaat meteen aan door de HP Auto-On/Auto-Off functie. De toner is voorgeïnstalleerd, dus sluit de printer aan via usb, netwerkkabel of wifi en je print vrijwel direct.","129,99","HP","G3Q58A#B19","None","Laser","A4","600 x 600","22 ppm","None","0,256 GB","39,8 cm x 28,8 cm x 23,11 cm","6,8 kg"
Inkjetprinters,"Epson EcoTank ET-2600","Vervang niet meer na 100 afdrukken de cartridges met de Epson EcoTank ET-2600 inkjetprinter. Met deze printer druk je tot 4.000 zwart-wit of 6.500 pagina's in kleur. Bij een vergelijkbare printer heb je op dat moment al twintig keer de cartridges vervangen. Als de inkt op is, dan vul je zelf de inkt bij met inktflessen. Verstuur je printtaken via wifi met de Epson Connect app op je smartphone of tablet naar de printer. Hierdoor plaats je de printer overal binnen het bereik van je wifi netwerk. De EcoTank ET-2600 is een All-in-one printer wat betekent dat je naast printen ook facturen inscant en bonnetjes kopieert.","249,-","Epson","C11CF46402","None","Inkjet","A4","5760 x 1440","33 ppm","15 ppm","None","44,5 cm x 30,4 cm x 16,9 cm","4,6 kg"
Inkjetprinters,"Canon PIXMA MG5750","De Canon PIXMA MG5750 is een wifi printer voor thuis. De printer is geschikt voor Cloud Print en AirPrint, zodat je ook vanaf je smartphone en tablet print. Dankzij de hoge printresolutie en 5 losse cartridges, zijn je prints haarscherp én bespaar je op je inktkosten. Je hoeft namelijk alleen de kleurencartridge te vervangen die leeg is. Scannen en kopiëren doe je direct via het scherm aan de voorkant.","64,-","Canon","0557C006AA","None","Inkjet","A4","4800 x 1200","12,6 ppm","9 ppm","None","45,5 cm x 36,9 cm x 14,8 cm","6,3 kg"
Inkjetprinters,"HP ENVY 7640 All-in-One","De HP ENVY 7640 is een All-in-One printer voor thuisgebruik. De ENVY 7640 is ontworpen om te gebruiken in combinatie met draadloze randapparatuur zoals tablets, smartphones en/of laptops. Met de ePrint app kun je overal ter wereld je printer beheren, of je beheert de printer eenvoudig via het 8,9 cm grote touchscreen. Dankzij de optie dubbelzijdig te printen en de automatische documentinvoer werkt de printer eenvoudig en snel. De printer is daarnaast ook geschikt om af en toe foto's af te drukken.","139,-","HP","E4W47A#BHC","None","Inkjet","A4","4800 x 1200","14 ppm","9 ppm","0,128 GB","45,4 cm x 41 cm x 19,3 cm","7,67 kg"
Inkjetprinters,"HP OfficeJet Pro 8720 e-All-in-One (D9L19A)","De HP OfficeJet Pro 8710 e-All-in-One (D9L18A) is een printer, scanner, fax en kopieerapparaat in één voor op een klein kantoor. Selecteer je scan- kopieer-, fax- en printinstellingen zonder tussenkomst van een pc op het 11 cm grote touchscreen. Verbind je laptop of mobiel via wifi en print automatisch dubbelzijdig en benut je beide kanten van het papier. Dankzij de dubbelzijdige automatische documenteninvoer (DADF) scan en kopieer je tot 50 documenten in één moeite dubbelzijdig. Scan kwetsbare documenten in met de ingebouwde flatbedscanner.","188,-","HP","D9L19A#A80","None","Inkjet","A4","1200 x 1200","24 ppm","20 ppm","0,256 GB","49,95 cm x 44,97 cm x 33,91 cm","15,01 kg"
Laserprinters,"Brother MFC-L2720DW","De Brother MFC-L2720DW is een compacte zwart-wit laserprinter die razendsnel kan printen, kopiëren, scannen en faxen. Het printen kan automatisch dubbelzijdig waardoor je papier bespaart. Via Wi-Fi verstuur je draadloos opdrachten naar de printer met je tablet, smartphone of pc. De L2720DW heeft een touchscreen van 6,8 cm waardoor hij eenvoudig in gebruik is.","168,99","Brother","MFC-L2720DW","None","Laser","A4","2400 x 600","30 ppm","None","None","40,9 cm x 39,9 cm x 31,6 cm","11,6 kg"
Labelprinters,"DYMO LabelManager 280","Maak met de DYMO LabelManager 280 tapeprinter labels op met een breedte tussen de 6 en 12 mm en organiseer je documenten, kantooraccessoires en randapparatuur. Door zijn vorm ligt hij goed in hand. En de ingebouwde oplaadbare batterij zorgt ervoor dat je de tapeprinter ook zonder stopcontact gebruikt. Net zoals op jouw pc of Mac, werk je met een QWERTY toetsenbord. Eenmaal ingevoerd, zie je direct op het scherm hoe je label eruit ziet en druk je deze meteen af. Sluit de tapeprinter aan via usb en maak je labels met de DYMO Label Software op.","59,-","Dymo","S0968920","None","None","None","None","None","None","None","10,8 cm x 20,6 cm x 4,7 cm","0,4 kg"
Laserprinters,"Samsung Xpress SL-C480W","Met de Samsung Xpress SL-C480W hoef jij nooit lang te wachten op jouw printjes. De printer heeft NFC en wifi, zodat jij eenvoudig draadloos opdrachten naar je printer verstuurt vanaf je smartphone of tablet. De kwaliteit van tekstdocumenten is zeer goed: dankzij de hoge printresolutie zijn zelfs kleine lettertypen goed leesbaar. Scan je documenten via de flatbed scanner.","249,-","Samsung","SL-C480W/SEE","None","Laser","A4","2400 x 600","18 ppm","4 ppm","None","40,6 cm x 36,2 cm x 28,9 cm","12,9 kg"
Laserprinters,"HP LaserJet Pro MFP M426dw","Met een snelheid tot 40 pagina's per minuut is de HP Color LaserJet Pro MFP M426dw geschikt voor op een groot kantoor. Deel de printer draadloos via wifi en je maakt met de hele werkgroep gebruik van deze snelle zwart-witprinter. Of verstuur een opdracht met je smartphone of tablet via de HP ePrint app. Wil je even snel een document kopiëren of scannen? Via het touchscreen van 7,5 cm aan de voorkant selecteer jij eenvoudig de gewenste scan-, kopieer- en printinstellingen.","319,-","HP","F6W13A","None","Laser","A4","600 x 600","40 ppm","None","None","42 cm x 39 cm x 45,2 cm","12,86 kg"
Laserprinters,"HP Color LaserJet Pro MFP M377dw","De HP Color LaserJet Pro MFP M377dw print automatisch dubbelzijdig én heeft wifi. Zo print, scan en kopieer je tegelijk met de gehele werkgroep op dezelfde printer. Scan een batch tot 50 pagina's tegelijk. Doordat je de M377dw bedient met het 10,9 cm touchscreen aan de voorkant van de printer, hoef je niet eerst de pc op te starten. Ook als je vaak op je laptop, smartphone of tablet werkt, biedt deze laserprinter uitkomst. Download de HP ePrint app en stuur draadloos je opdrachten naar de printer.","359,-","HP","M5H23A","None","Laser","A4","600 x 600","24 ppm","24 ppm","None","41,6 cm x 47,2 cm x 40 cm","23,2 kg"
