product_type,product_name,product_price,product_brand,product_model,product_printertype,product_tech,product_maxsize,product_maxres,product_bwspeed,product_cspeed,product_memory,product_dimensions,product_weight
Inkjetprinters,"Canon PIXMA MG5750","57,-","Canon","0557C006AA","All-in-one","Inkjet","A4","4800 x 1200","12,6 ppm","9 ppm","None","45,5 cm x 36,9 cm x 14,8 cm","6,3 kg"
Inkjetprinters,"Epson Expression Premium XP-640","99,-","Epson","C11CF50403","All-in-one","Inkjet","A4","5760 x 1440","13 ppm","10 ppm","None","39 cm x 34,1 cm x 13,8 cm","6,7 kg"
Labelprinters,"DYMO LabelWriter 450 Bundel","59,99","Dymo","DYM-1896042","None","None","None","300 x 300","None","None","None","12,7 cm x 18,7 cm x 13,4 cm","0,654 kg"
Inkjetprinters,"HP OfficeJet Pro 8725 e-All-in-One (M9L80A)","219,-","HP","K7S35A","All-in-one","Inkjet","A4","1200 x 1200","24 ppm","20 ppm","0,256 GB","49,95 cm x 44,97 cm x 33,91 cm","15,01 kg"
Laserprinters,"Samsung Xpress SL-M2026W","68,99","Samsung","SL-M2026W/SEE","Alléén printen","Laser","A4","1200 x 1200","20 ppm","None","None","33,1 cm x 21,5 cm x 17,8 cm","4 kg"
Laserprinters,"HP Color LaserJet Pro MFP M477fdw","399,-","HP","CF379A","All-in-one","Laser","A4","600 x 600","27 ppm","27 ppm","0,256 GB","41,6 cm x 47,2 cm x 40 cm","23,2 kg"
Inkjetprinters,"Canon PIXMA MG3053 Blauw Wit","49,99","Canon","1346C066AA","All-in-one","Inkjet","A4","4800 x 600","8 ppm","4 ppm","None","42,6 cm x 30,6 cm x 14,5 cm","3,5 kg"
Inkjetprinters,"Epson EcoTank ET-2650","259,-","Epson","C11CF47402","All-in-one","Inkjet","A4","5760 x 1440","33 ppm","15 ppm","None","44,5 cm x 30,4 cm x 16,9 cm","5 kg"
Labelprinters,"DYMO LabelManager 280","59,-","Dymo","S0968920","None","None","None","None","None","None","None","10,8 cm x 20,6 cm x 4,7 cm","0,4 kg"
Inkjetprinters,"HP ENVY 4526 All-in-One","59,99","HP","K9T05B","All-in-one","Inkjet","A4","4800 x 1200","9,5 ppm","6,8 ppm","0,064 GB","44,5 cm x 36,7 cm x 12,8 cm","5,41 kg"
Inkjetprinters,"HP ENVY 5640 All-in-One","79,-","HP","B9S59A","All-in-one","Inkjet","A4","4800 x 1200","12 ppm","8 ppm","0,128 GB","45,4 cm x 41 cm x 16,1 cm","6,82 kg"
Inkjetprinters,"Epson Expression Home XP-342","49,99","Epson","C11CF31403","All-in-one","Inkjet","A4","5760 x 1440","10 ppm","4,5 ppm","None","39 cm x 30 cm x 14,6 cm","4,3 kg"
Inkjetprinters,"HP OfficeJet Pro 6970 e-All-in-One (J7K34A)","119,99","HP","T0F33A#BHC","All-in-one","Inkjet","A4","1200 x 600","20 ppm","11 ppm","1 GB","46,4 cm x 39 cm x 22,9 cm","8,1 kg"
Inkjetprinters,"Canon PIXMA MX925","119,-","Canon","6992B009","All-in-one","Inkjet","A4","9600 x 2400","12,5 ppm","10 ppm","None","49,1 cm x 39,6 cm x 23,1 cm","11,7 kg"
Laserprinters,"HP Color LaserJet Pro MFP M277dw","277,-","HP","B3Q11A","All-in-one","Laser","A4","600 x 600","18 ppm","18 ppm","0,256 GB","42 cm x 41,7 cm x 32,2 cm","16,3 kg"
Inkjetprinters,"HP OfficeJet Pro 6960 e-All-in-One (J7K33A)","109,99","HP","T0F32A#BHC","All-in-one","Inkjet","A4","1200 x 600","18 ppm","10 ppm","1 GB","46,4 cm x 39 cm x 22,9 cm","8,05 kg"
Inkjetprinters,"Canon PIXMA MG3650 Zwart","49,-","Canon","0515C006","All-in-one","Inkjet","A4","4800 x 1200","10 ppm","6 ppm","None","44,9 cm x 30,4 cm x 15,2 cm","5,4 kg"
Inkjetprinters,"HP ENVY 7640 All-in-One","139,-","HP","E4W47A","All-in-one","Inkjet","A4","4800 x 1200","14 ppm","9 ppm","0,128 GB","45,4 cm x 41 cm x 19,3 cm","7,67 kg"
Inkjetprinters,"HP OfficeJet Pro 8715 e-All-in-One (J6X76A)","169,-","HP","K7S37A#BHC","All-in-one","Inkjet","A4","1200 x 1200","22 ppm","18 ppm","0,128 GB","49,95 cm x 40,48 cm x 33,91 cm","11,54 kg"
Inkjetprinters,"Canon PIXMA iP7250","64,-","Canon","6219B006","Alléén printen","Inkjet","A4","9600 x 2400","15 ppm","10 ppm","None","45,1 cm x 36,8 cm x 12,8 cm","6,6 kg"
Inkjetprinters,"HP OfficeJet Pro 7740 All-in-One (G5J38A)","199,-","HP","G5J38A","All-in-one","Inkjet","A3","4800 x 1200","22 ppm","18 ppm","0,512 GB","58,4 cm x 46,7 cm x 38,3 cm","19,5 kg"
Inkjetprinters,"Epson Expression Premium XP-830","138,-","Epson","C11CE78402","All-in-one","Inkjet","A4","5760 x 1440","14 ppm","11 ppm","None","39 cm x 33,9 cm x 19,1 cm","6,9 kg"
Laserprinters,"Brother DCP-L2520DW","149,-","Brother","DCP-L2520DW","All-in-one","Laser","A4","2400 x 600","26 ppm","None","None","40,9 cm x 39,85 cm x 26,7 cm","11,4 kg"
Laserprinters,"Samsung Xpress SL-C480W","249,-","Samsung","SL-C480W/SEE","All-in-one","Laser","A4","2400 x 600","18 ppm","4 ppm","None","40,6 cm x 36,2 cm x 28,9 cm","12,9 kg"
Inkjetprinters,"Brother DCP-J4120DW","129,-","Brother","DCP-J4120DW","All-in-one","Inkjet","A3","6000 x 1200","20 ppm","18 ppm","0,128 GB","48 cm x 29 cm x 16,3 cm","8,1 kg"
Inkjetprinters,"Brother MFC-J5730DW","199,-","Brother","MFC-J5730DW","All-in-one","Inkjet","A3","4800 x 1200","35 ppm","27 ppm","0,256 GB","53 cm x 39,8 cm x 37,4 cm","20,6 kg"
Inkjetprinters,"Brother MFC-J4620DW","179,-","Brother","MFC-J4620DW","All-in-one","Inkjet","A3","6000 x 1200","22 ppm","20 ppm","0,128 GB","48 cm x 29 cm x 18,8 cm","6,2 kg"
Inkjetprinters,"Epson WorkForce WF-100W","199,-","Epson","C11CE05402","Alléén printen","Inkjet","A4","5760 x 1440","7 ppm","4 ppm","None","30,9 cm x 15,4 cm x 6,1 cm","1,6 kg"
Laserprinters,"HP LaserJet Pro MFP M130nw","129,99","HP","G3Q58A","All-in-one","Laser","A4","600 x 600","22 ppm","None","0,256 GB","39,8 cm x 28,8 cm x 23,11 cm","6,8 kg"
Inkjetprinters,"HP Deskjet 3638 All-in-One","49,-","HP","K4U02B","All-in-one","Inkjet","A4","4800 x 1200","8,5 ppm","6 ppm","None","43,8 cm x 31 cm x 15,8 cm","4,17 kg"
Inkjetprinters,"Canon PIXMA MG5751","69,99","Canon","0557C026AA","All-in-one","Inkjet","A4","4800 x 1200","12,6 ppm","9 ppm","None","45,5 cm x 36,9 cm x 14,8 cm","6,3 kg"
Labelprinters,"DYMO LetraTag LT-100H","29,99","Dymo","S0883980","None","None","None","160","None","None","None","9,5 cm x 21,5 cm x 6,5 cm","0,28 kg"
Laserprinters,"Samsung Xpress SL-C430W","149,-","Samsung","SL-C430W/SEE","Alléén printen","Laser","A4","2400 x 600","18 ppm","4 ppm","None","38,2 cm x 30,9 cm x 21,1 cm","9,96 kg"
Inkjetprinters,"Epson WorkForce WF-2630WF","96,99","Epson","C11CE36402","All-in-one","Inkjet","A4","1440 x 5760","9 ppm","4,7 ppm","None","38,1 cm x 35,56 cm x 20,32 cm","5,44 kg"
Inkjetprinters,"Canon PIXMA TS5050 Zwart","77,-","Canon","1367C006AA","All-in-one","Inkjet","A4","4800 x 1200","12,6 ppm","9 ppm","None","37,2 cm x 31,5 cm x 13,9 cm","5,5 kg"
Inkjetprinters,"HP OfficeJet 6950 e-All-in-One","109,-","HP","P4C85A#BHC","All-in-one","Inkjet","A4","4800 x 1200","16 ppm","9 ppm","1 GB","46,4 cm x 39 cm x 22,9 cm","7,7 kg"
Inkjetprinters,"HP OfficeJet 7612 e-All-in-One","158,99","HP","G1X85A","All-in-one","Inkjet","A3","4800 x 1200","15 ppm","8 ppm","0,256 GB","61,7 cm x 50,5 cm x 29,7 cm","17,6 kg"
Inkjetprinters,"HP OfficeJet Pro 8720 e-All-in-One (D9L19A)","199,-","HP","D9L19A#A80","All-in-one","Inkjet","A4","1200 x 1200","24 ppm","20 ppm","0,256 GB","49,95 cm x 44,97 cm x 33,91 cm","15,01 kg"
Inkjetprinters,"HP OfficeJet 7510 All-in-One","129,-","HP","G3J47A","All-in-one","Inkjet","A3","4800 x 1200","15 ppm","8 ppm","0,256 GB","61,3 cm x 48,3 cm x 36,6 cm","13,02 kg"
Inkjetprinters,"Brother DCP-J562DW","95,-","Brother","DCP-J562DW","All-in-one","Inkjet","A4","6000 x 1200","10 ppm","10 ppm","0,128 GB","40 cm x 34,1 cm x 15,5 cm","8,8 kg"
 kg"
Laserprinters,"Brother HL-L2340DW","99,-","Brother","HL-L2340DW","Alléén printen","Laser","A4","2400 x 600","26 ppm","None","None","35,6 cm x 36 cm x 18,3 cm","6,9 kg"
Laserprinters,"HP Color LaserJet Pro MFP M377dw","359,-","HP","M5H23A","All-in-one","Laser","A4","600 x 600","24 ppm","24 ppm","None","41,6 cm x 47,2 cm x 40 cm","23,2 kg"
Laserprinters,"HP Color LaserJet Pro M252dw","229,-","HP","B4A22A","Alléén printen","Laser","A4","600 x 600","18 ppm","18 ppm","None","39,2 cm x 41,2 cm x 23,62 cm","12,2 kg"
Inkjetprinters,"HP OfficeJet 5740 e-All-in-One","105,99","HP","B9S79A","All-in-one","Inkjet","A4","4800 x 1200","12 ppm","8 ppm","0,128 GB","45,2 cm x 41 cm x 19,3 cm","7,68 kg"
Inkjetprinters,"Canon PIXMA TS8050 Zwart","139,-","Canon","1369C006AA","All-in-one","Inkjet","A4","9600 x 2400","15 ppm","10 ppm","None","37,2 cm x 32,4 cm x 13,9 cm","6,5 kg"
Laserprinters,"Samsung Xpress M2070W","123,95","Samsung","SL-M2070W/SEE","All-in-one","Laser","A4","4800 x 4800","20 ppm","None","0,128 GB","40,6 cm x 36 cm x 25,3 cm","7,4 kg"
Laserprinters,"HP LaserJet Pro Color MFP M177FW","279,-","HP","CZ165A","All-in-one","Laser","A4","600 x 600","16 ppm","17 ppm","None","42,3 cm x 48,4 cm x 33,5 cm","16 kg"
Inkjetprinters,"Epson WorkForce Pro WF-3725DWF","149,-","Epson","C11CF24405","All-in-one","Inkjet","A4","4800 x 1200","20 ppm","10 ppm","None","42,5 cm x 37,8 cm x 24,9 cm","9,1 kg"
Inkjetprinters,"Epson WorkForce Pro WF-3720DWF","139,99","Epson","C11CF24402","All-in-one","Inkjet","A4","4800 x 1200","20 ppm","10 ppm","None","42,5 cm x 37,8 cm x 24,9 cm","9,1 kg"
Inkjetprinters,"HP PageWide Pro 477dw","419,-","HP","D3Q20B","All-in-one","Inkjet","A4","1200 x 1200","40 ppm","40 ppm","0,768 GB","53 cm x 40,7 cm x 46,7 cm","22,15 kg"
Inkjetprinters,"Brother MFC-J6930DW","279,-","Brother","MFC-J6930DW","All-in-one","Inkjet","A3","4800 x 1200","22 ppm","20 ppm","0,256 GB","57,5 cm x 47,7 cm x 37,5 cm","23,7 kg"
Inkjetprinters,"Epson Expression Home XP-245","49,95","Epson","C11CF32402","All-in-one","Inkjet","A4","5760 x 1440","8 ppm","4 ppm","None","39 cm x 30 cm x 14,5 cm","3,9 kg"
Inkjetprinters,"Canon PIXMA MG3051 Wit","49,-","Canon","1346C026","All-in-one","Inkjet","A4","4800 x 600","8 ppm","4 ppm","None","42,6 cm x 30,6 cm x 14,5 cm","3,5 kg"
Inkjetprinters,"Brother MFC-J4420DW","139,99","Brother","MFC-J4420DW","All-in-one","Inkjet","A3","6000 x 1200","20 ppm","18 ppm","0,128 GB","48 cm x 29 cm x 18,8 cm","9,5 kg"
Inkjetprinters,"Canon PIXMA MG6853","89,-","Canon","0519C066","All-in-one","Inkjet","A4","4800 x 1200","15 ppm","9,7 ppm","None","45,5 cm x 36,9 cm x 14,8 cm","6,4 kg"
Inkjetprinters,"Canon PIXMA TS6050 Zwart","115,-","Canon","1368C006","All-in-one","Inkjet","A4","4800 x 1200","15 ppm","10 ppm","None","37,2 cm x 31,5 cm x 13,9 cm","6,2 kg"
Inkjetprinters,"HP Deskjet 2130 All-in-One","42,99","HP","F5S40B","All-in-one","Inkjet","A4","4800 x 1200","7,5 ppm","5,5 ppm","None","42,5 cm x 30,4 cm x 14,9 cm","3,42 kg"
Inkjetprinters,"HP OfficeJet Pro 8710 e-All-in-One (D9L18A)","161,99","HP","D9L18A","All-in-one","Inkjet","A4","1200 x 1200","22 ppm","18 ppm","0,128 GB","49,95 cm x 40,48 cm x 33,91 cm","11,54 kg"
Inkjetprinters,"HP OfficeJet 7110 Breedformaat ePrinter","135,-","HP","CR768A","Alléén printen","Inkjet","A3+","1200 dpi x 4800 dpi","15 ppm","8 ppm","0,128 GB","58,5 cm x 41,9 cm x 18,9 cm","8,5 kg"
Inkjetprinters,"Epson Expression Photo XP-860","159,-","Epson","C11CD95402","All-in-one","Inkjet","A4","5760 x 1440","9,5 ppm","9 ppm","None","39 cm x 34 cm x 19 cm","9 kg"
Inkjetprinters,"Canon PIXMA MG2550s","43,99","Canon","0727C006","All-in-one","Inkjet","A4","4800 x 600","8 ppm","4 ppm","None","42,6 cm x 30,6 cm x 14,5 cm","3,5 kg"
Inkjetprinters,"Canon PIXMA iX6850","199,-","Canon","8747B006AA","Alléén printen","Inkjet","A3","9600 x 2400","14,5 ppm","10,4 ppm","None","58,4 cm x 31 cm x 15,9 cm","8,1 kg"
Inkjetprinters,"Canon PIXMA TS6051 Wit","119,-","Canon","1368C026AA","All-in-one","Inkjet","A4","4800 x 1200","15 ppm","10 ppm","None","37,2 cm x 31,5 cm x 13,9 cm","6,2 kg"
Laserprinters,"HP LaserJet Pro MFP M426fdw","379,-","HP","F6W15A","All-in-one","Laser","A4","600 x 600","38 ppm","None","None","43 cm x 39 cm x 32,5 cm","12,86 kg"
Inkjetprinters,"HP OfficeJet 250 Mobiele Printer (CZ992A)","299,-","HP","CZ992A","All-in-one","Inkjet","A4","1200 x 1200","20 ppm","19 ppm","0,256 GB","38 cm x 19,8 cm x 9,1 cm","3,06 kg"
Laserprinters,"Brother HL-1210W","68,99","Brother","HL-1210W","Alléén printen","Laser","A4","2400 x 600","20 ppm","None","None","23,8 cm x 34 cm x 18,9 cm","4,6 kg"
Laserprinters,"HP LaserJet Pro MFP M130fw","189,-","HP","G3Q60A","All-in-one","Laser","A4","600 x 600","22 ppm","None","0,256 GB","41,51 cm x 28,8 cm x 28 cm","7,6 kg"
Laserprinters,"Brother HL-L2300D","79,-","Brother","HL-L2300D","Alléén printen","Laser","A4","2400 x 600","26 ppm","None","None","35,6 cm x 36 cm x 18,3 cm","6,9 kg"
Labelprinters,"Brother PT-D210VP","29,99","Brother","PTD210VPUR1","None","None","None","9 x 12","None","None","None","15,7 cm x 14,9 cm x 6,8 cm","0,49 kg"
Laserprinters,"Brother DCP-1610W","99,99","Brother","DCP-1610W","All-in-one","Laser","A4","2400 x 600","20 ppm","None","0,032 GB","38,5 cm x 34 cm x 25,5 cm","9 kg"
Laserprinters,"HP LaserJet Pro M102w","94,99","HP","G3Q35A#B19","Alléén printen","Laser","A4","600 x 600","22 ppm","None","None","36,47 cm x 24,73 cm x 19 cm","4,7 kg"
Laserprinters,"Samsung Xpress M2835DW","151,99","Samsung","SL-M2835DW/SEE","Alléén printen","Laser","A4","4800 x 600","28 ppm","None","None","36,8 cm x 33,45 cm x 20,2 cm","7,4 kg"
Inkjetprinters,"HP OfficeJet Pro 8730 All-in-One (D9L20A)","279,-","HP","D9L20A","All-in-one","Inkjet","A4","1200 x 1200","24 ppm","20 ppm","0,512 GB","49,95 cm x 44,9 cm x 32,73 cm","15,2 kg"
Labelprinters,"Brother QL-810W","112,88","Brother","QL810WUA1","None","None","None","300 x 600","None","None","None","12,6 cm x 23,4 cm x 14,5 cm","1,12 kg"
Laserprinters,"Samsung Xpress SL-C430","129,-","Samsung","SL-C430/SEE","Alléén printen","Laser","A4","None","18 ppm","4 ppm","None","38,2 cm x 30,9 cm x 21,1 cm","9,96 kg"
Inkjetprinters,"Brother MFC-J480DW","94,99","Brother","MFC-J480DW","All-in-one","Inkjet","A4","6000 x 1200","12 ppm","10 ppm","0,128 GB","40 cm x 34,1 cm x 17,2 cm","10,1 kg"
Inkjetprinters,"Epson Expression Photo XP-760","123,95","Epson","C11CD96402","All-in-one","Inkjet","A4","5760 x 1440","9,5 ppm","9 ppm","None","39 cm x 34,1 cm x 14,1 cm","7 kg"
Laserprinters,"HP LaserJet Pro M203dw","179,-","HP","G3Q47A","Alléén printen","Laser","A4","1200 x 1200","28 ppm","None","None","37,1 cm x 40,7 cm x 22,4 cm","6,9 kg"
Laserprinters,"HP Color LaserJet Enterprise M553N","399,-","HP","B5L24A","Alléén printen","Laser","A4","1200 x 1200","38 ppm","38 ppm","None","45,8 cm x 47,9 cm x 39,9 cm","27 kg"
Inkjetprinters,"Canon MAXIFY MB5150","169,99","Canon","0960C030","All-in-one","Inkjet","A4","1200 x 600","24 ppm","15 ppm","None","46,3 cm x 39,4 cm x 29,1 cm","11,4 kg"
Inkjetprinters,"Epson Expression Premium XP-645","96,99","Epson","C11CF50404","All-in-one","Inkjet","A4","5760 x 1440","13 ppm","10 ppm","None","39 cm x 34,1 cm x 13,8 cm","6,7 kg"
Labelprinters,"DYMO LabelManager 160","33,99","Dymo","S0946310","None","None","None","None","None","None","None","11,8 cm x 20,3 cm x 4,9 cm","0,35 kg"
Laserprinters,"HP LaserJet Pro M102a","89,-","HP","G3Q34A","Alléén printen","Laser","A4","600 x 600","22 ppm","None","None","36,47 cm x 24,73 cm x 19 cm","4,7 kg"
Labelprinters,"DYMO LetraTag LT-100T (QWERTY)","31,99","Dymo","S0758380","None","None","None","160","None","None","None","22 cm x 8,3 cm x 4,8 cm","0,229 kg"
Inkjetprinters,"Epson EcoTank ET-2600","269,-","Epson","C11CF46402","All-in-one","Inkjet","A4","5760 x 1440","33 ppm","15 ppm","None","44,5 cm x 30,4 cm x 16,9 cm","4,6 kg"
Inkjetprinters,"Brother MFC-J5330DW","159,-","Brother","MFC-J5330DW","All-in-one","Inkjet","A3","4800 x 1200","35 ppm","27 ppm","0,128 GB","53 cm x 39,8 cm x 30,4 cm","16,9 kg"
Inkjetprinters,"Epson Expression Premium XP-900","148,-","Epson","C11CF54402","All-in-one","Inkjet","A3","5760 x 1440","14 ppm","11 ppm","None","47,9 cm x 35,6 cm x 14,8 cm","8,3 kg"
Laserprinters,"HP LaserJet Pro MFP M426dw","329,-","HP","F6W13A","All-in-one","Laser","A4","600 x 600","40 ppm","None","None","42 cm x 39 cm x 45,2 cm","12,86 kg"
Inkjetprinters,"Epson EcoTank ET-3600","419,-","Epson","C11CF73401","All-in-one","Inkjet","A4","4800 x 1200","13,7 ppm","7,3 ppm","None","48,9 cm x 30 cm x 16,9 cm","4,7 kg"
Laserprinters,"HP LaserJet Pro M501dn","439,-","HP","J8H61A","Alléén printen","Laser","A4","4800 x 600","43 ppm","None","None","41,8 cm x 37,6 cm x 28,9 cm","11,6 kg"
Laserprinters,"HP Color LaserJet Pro MFP M477fnw","359,-","HP","CF377A","All-in-one","Laser","A4","600 x 600","27 ppm","27 ppm","None","41,6 cm x 46,1 cm x 40 cm","21,8 kg"
Laserprinters,"Brother HL-3140CW","159,-","Brother","HL-3140CW","Alléén printen","LED-technologie","A4","2400 x 600","18 ppm","18 ppm","None","41 cm x 46,5 cm x 24 cm","17,4 kg"
Inkjetprinters,"HP OfficeJet 4656 All-in-One","97,99","HP","K9V81B","All-in-one","Inkjet","A4","4800 x 1200","9,5 ppm","6,8 ppm","0,064 GB","44,5 cm x 36,9 cm x 19,8 cm","6,55 kg"
Inkjetprinters,"HP ENVY 4528 All-in-One","69,-","HP","K9T07B","All-in-one","Inkjet","A4","None","9,5 ppm","6,8 ppm","0,064 GB","44,5 cm x 36,7 cm x 12,8 cm","5,41 kg"
Inkjetprinters,"HP OfficeJet Pro 8740 All-in-One (D9L21A)","309,-","HP","D9L21A#620","All-in-one","Inkjet","A4","1200 x 1200","24 ppm","20 ppm","0,512 GB","49,95 cm x 43,9 cm x 41 cm","18,46 kg"
Inkjetprinters,"HP OfficeJet 200 Mobiele Printer (CZ993A)","239,-","HP","CZ993A","Alléén printen","Inkjet","A4","1200 x 1200","10 ppm","7 ppm","0,128 GB","36,4 cm x 18,6 cm x 6,9 cm","2,2 kg"
Labelprinters,"Brother QL-820NWB","165,99","Brother","QL820NWBUA1","None","None","None","300 x 600","None","None","None","12,6 cm x 23,4 cm x 14,5 cm","1,16 kg"
Inkjetprinters,"HP OfficeJet Pro 8210 (D9L63A)","105,-","HP","D9L63A","Alléén printen","Inkjet","A4","1200 x 1200","22 ppm","18 ppm","None","49,6 cm x 42 cm x 20,3 cm","8,62 kg"
Inkjetprinters,"Canon MAXIFY MB2750","139,-","Canon","0958C030","All-in-one","Inkjet","A4","1200 x 600","24 ppm","15,5 ppm","None","46,3 cm x 38,9 cm x 32 cm","12,1 kg"
Laserprinters,"Brother MFC-9340CDW","499,-","Brother","MFC-9340CDW","All-in-one","LED-technologie","A4","2400 x 600","22 ppm","22 ppm","None","41 cm x 48,3 cm x 41 cm","23,5 kg"
Laserprinters,"Samsung Xpress M2885FW","249,-","Samsung","SL-M2885FW/SEE","All-in-one","Laser","A4","4800 x 600","28 ppm","None","None","40,1 cm x 36,2 cm x 36,7 cm","11,3 kg"
Inkjetprinters,"HP PageWide 377dw MFP (J9V80B)","349,-","HP","J9V80B","All-in-one","Inkjet","A4","1200 x 1200","30 ppm","30 ppm","0,768 GB","53 cm x 40,7 cm x 46,7 cm","22,15 kg"
Laserprinters,"Brother MFC-L2720DW","219,-","Brother","MFC-L2720DW","All-in-one","Laser","A4","2400 x 600","30 ppm","None","None","40,9 cm x 39,9 cm x 31,6 cm","11,6 kg"
Labelprinters,"Brother QL-700","74,-","Brother","QL-700","None","None","None","300 x 300","None","None","None","12,8 cm x 22,1 cm x 15,3 cm","1,12 kg"
Labelprinters,"DYMO LabelWriter 450","94,99","Dymo","S0838770","None","None","None","600 x 300","None","None","None","12,7 cm x 18,7 cm x 13,4 cm","0,654 kg"
Inkjetprinters,"Canon PIXMA iP110 incl. accu","319,-","Canon","9596B029","Alléén printen","Inkjet","A4","9600 x 2400","9 ppm","5,8 ppm","None","32,2 cm x 18,5 cm x 6,2 cm","2 kg"
Labelprinters,"DYMO LabelWriter 4XL","239,-","Dymo","S0904950","None","None","None","300","None","None","None","17,8 cm x 18,7 cm x 13,4 cm","0,89 kg"
Laserprinters,"HP LaserJet Pro M402dw","249,-","HP","C5F95A","Alléén printen","Laser","A4","1200 x 1200","38 ppm","None","0,128 GB","38,1 cm x 35,7 cm x 21,6 cm","8,58 kg"
Laserprinters,"Brother HL-1110","67,99","Brother","HL-1110","Alléén printen","Laser","A4","2400 x 600","20 ppm","None","None","34 cm x 23,8 cm x 18,9 cm","4,5 kg"
Inkjetprinters,"Epson Expression Home XP-442","78,95","Epson","C11CF30403","All-in-one","Inkjet","A4","None","10 ppm","4,5 ppm","None","39 cm x 30 cm x 14,6 cm","4,3 kg"
Inkjetprinters,"Epson WorkForce Pro WF-5690DWF","289,-","Epson","C11CD14301","All-in-one","Inkjet","A4","4800 x 1200","20 ppm","20 ppm","None","46,1 cm x 44,2 cm x 34,2 cm","14,3 kg"
Inkjetprinters,"Epson Expression Photo XP-55","156,99","Epson","C11CD36402","Alléén printen","Inkjet","A4","1400 x 5760","9,5 ppm","9 ppm","None","39 cm x 33,8 cm x 14,1 cm","5 kg"
Laserprinters,"HP Color LaserJet Enterprise M553X","909,-","HP","B5L26A","Alléén printen","Laser","A4","1200 x 1200","38 ppm","38 ppm","None","45,8 cm x 47,9 cm x 58,1 cm","33,4 kg"
Laserprinters,"HP Color LaserJet Pro MFP M477fdn","419,-","HP","CF378A","All-in-one","Laser","A4","600 x 600","27 ppm","27 ppm","None","41,6 cm x 47,2 cm x 40 cm","23,2 kg"
Laserprinters,"Brother MFC-9330CDW","389,-","Brother","MFC-9330CDW","All-in-one","LED-technologie","A4","2400 x 600","22 ppm","22 ppm","None","41 cm x 48,3 cm x 41 cm","23,4 kg"
Labelprinters,"DYMO LabelWriter 450 Turbo","125,-","Dymo","S0838820","None","None","None","600 x 300","None","None","None","12,7 cm x 18,7 cm x 13,4 cm","0,654 kg"
Laserprinters,"Brother HL-L2365DW","143,99","Brother","HL-L2365DW","Alléén printen","Laser","A4","2400 x 600","30 ppm","None","None","35,6 cm x 36 cm x 18,3 cm","6,9 kg"
