product_type,product_name,product_price,product_brand,product_model,product_screen,product_screenres,product_cpu,product_graphicscard,product_graphicsmemory,product_memory,product_storage,product_dimensions,product_weight
Laptops QWERTY,"Lenovo IdeaPad 110-15ACL 80TJ004QMH","379,-","Lenovo","80TJ004QMH","15,6 inch","1366 x 768 pixels","AMD A6 7310","AMD Radeon R4","None","4 GB","128 GB SSD","26,5 cm x 37,8 cm x 2,29 cm","2,2 kg"
Laptops QWERTY,"Acer Chromebook 15 CB5-571-C506","349,-","Acer","NX.MUNEH.004","15,6 inch","1920 x 1080 pixels","Intel Celeron 3205U","Intel HD Graphics","None","4 GB","32 GB Flash","38,3 cm x 25,6 cm x 2,42 cm","2,2 kg"
Laptops QWERTY,"Asus Zenbook RX410UA-GV222R","999,-","Asus","90NB0DL1-M05030","14 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB SSD","32,3 cm x 22,3 cm x 1,9 cm","1,4 kg"
Laptops QWERTY,"HP Envy X360 15-bp030nd","1.399,-","HP","1UZ41EA#ABH","15,6 inch","1920 x 1080 pixels","Intel Core i7 7500U","NVIDIA GeForce 940MX","4000 MB","8 GB","256 GB SSD +1  TB HDD","35,97 cm x 24,88 cm x 1,96 cm","2,16 kg"
Laptops QWERTY,"Dell Latitude 7275 H3KN8","849,-","Dell","H3KN8","12,5 inch","1920 x 1080 pixels","Intel Core m5 6Y57","Intel HD Graphics 515","None","8 GB","256 GB SSD","29,1 cm x 19,3 cm x 1,71 cm","0,73 kg"
Laptops QWERTY,"HP ProBook 430 G4 I7-8GB-256SSD","1.079,-","HP","784415","13,3 inch","1920 x 1080 pixels","Intel Core i7 7500U","Intel HD Graphics 620","None","8 GB","256 GB SSD","33 cm x 23,35 cm x 1,98 cm","1,49 kg"
Laptops QWERTY,"Microsoft Surface Book - i5 - 8 GB - 128 GB","1.449,-","Microsoft","CR9-00015","13,5 inch","3000 x 2000 pixels","Intel Core i5 6300U","Geen dedicated videokaart","None","8 GB","128 GB SSD","31,2 cm x 23,2 cm x 2,28 cm","1,52 kg"
Laptops QWERTY,"HP Stream 11-y011nd","299,-","HP","2EP00EA#ABH","11,6 inch","1366 x 768 pixels","Intel Celeron N3060","Intel HD Graphics 400","None","4 GB","32 GB Flash","30 cm x 20,57 cm x 1,8 cm","1,17 kg"
Laptops QWERTY,"Apple MacBook Pro 15'' Touch Bar (2017) MPTR2N/A Space Gray","2.799,-","Apple","MPTR2N/A","15,4 inch","2880 x 1800 pixels","Intel Core i7 None","AMD Radeon Pro 555","2000 MB","16 GB","256 GB SSD","34,93 cm x 24,07 cm x 1,55 cm","1,83 kg"
Laptops QWERTY,"HP Pavilion 15-cd023nd","799,-","HP","1VP70EA#ABH","15,6 inch","1920 x 1080 pixels","AMD A10 9620P","AMD Radeon 530 Graphics","2000 MB","8 GB","256 GB SSD","37,8 cm x 25,21 cm x 2,25 cm","1,95 kg"
Laptops QWERTY,"Microsoft Surface Book - i7 - 16 GB - 512 GB","2.599,-","Microsoft","96D-00011","13,5 inch","3000 x 2000 pixels","Intel Core i7 6600U","NVIDIA GeForce GTX 965M","None","16 GB","512 GB SSD","31,2 cm x 23,2 cm x 2,28 cm","1,52 kg"
Laptops QWERTY,"HP X360 11-ab001nd","449,-","HP","Y3V51EA#ABH","11,6 inch","1366 x 768 pixels","Intel Celeron N3060","Intel HD Graphics 400","None","4 GB","500 GB HDD","30,6 cm x 20,8 cm x 1,98 cm","1,35 kg"
Laptops QWERTY,"Acer Spin 3 SP315-51-55WE","799,-","Acer","NX.GK9EH.005","15,6 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB SSD","38,15 cm x 25,09 cm x 2,25 cm","2,15 kg"
Laptops QWERTY,"HP Pavilion 17-ab240nd","1.599,-","HP","Z5E80EA","17,3 inch","3840 x 2160 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","4000 MB","16 GB","256 GB SSD + 1 TB HDD","41,6 cm x 27,9 cm x 2,99 cm","2,85 kg"
Laptops QWERTY,"Medion Akoya E3213T 64GB Wit","399,-","Medion","30023176","13,3 inch","1920 x 1080 pixels","Intel Celeron N3350","Intel HD Grahpics 500","None","4 GB","64 GB SSD","31,4 cm x 21,5 cm x 1,94 cm","1,1 kg"
Laptops QWERTY,"HP Envy 13-ad012nd","1.099,-","HP","1US14EA#ABH","13,3 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB SSD","30,54 cm x 21,56 cm x 1,39 cm","1,32 kg"
Laptops QWERTY,"HP 14 Thinbook 14-bp000nd","448,-","HP","1UY70EA#ABH","14 inch","1920 x 1080 pixels","Intel Celeron N3060","Intel HD Graphics 400","None","4 GB","128 GB Flash","33,6 cm x 23,9 cm x 1,99 cm","None"
Laptops QWERTY,"HP Spectre X360 13-ac011nd","1.599,-","HP","1NA33EA#ABH","13,3 inch","1920 x 1080 pixels","Intel Core i7 7500U","Intel HD Graphics 620","None","8 GB","512 GB SSD","30,7 cm x 21,8 cm x 1,39 cm","1,32 kg"
Laptops QWERTY,"HP Chromebook 14 G4 P5T64EA","339,-","HP","P5T64EA#ABH","14 inch","1366 x 768 pixels","Intel Celeron N2840","Intel HD Graphics","None","4 GB","16 GB Flash","34,4 cm x 24 cm x 1,78 cm","1,71 kg"
Laptops QWERTY,"Medion Akoya S6421S-i5-128","529,-","Medion","30022654","15,6 inch","1920 x 1080 pixels","Intel Core i5 6200U","Intel HD Graphics 520","None","4 GB","128 GB SSD","38,3 cm x 25,1 cm x 2,1 cm","2,1 kg"
Laptops QWERTY,"HP Probook 440 G3 W4N88ET","749,-","HP","W4N88ET#ABH","14 inch","1920 x 1080 pixels","Intel Core i5 6200U","Intel HD Graphics 520","None","4 GB","128 GB SSD","33,92 cm x 24,4 cm x 2,09 cm","1,68 kg"
Laptops QWERTY,"HP 17-ak022nd","699,-","HP","1VA61EA#ABH","17,3 inch","1600 x 900 pixels","AMD A9 9420","AMD Radeon 530 Graphics","None","8 GB","128 GB SSD + 1 TB HDD","41,5 cm x 27,8 cm x 2,46 cm","2,6 kg"
Laptops QWERTY,"HP 14 Thinbook 14-bp000nd","448,-","HP","1UY70EA#ABH","14 inch","1920 x 1080 pixels","Intel Celeron N3060","Intel HD Graphics 400","None","4 GB","128 GB Flash","33,6 cm x 23,9 cm x 1,99 cm","None"
Laptops QWERTY,"Acer Aspire 5 A517-51G-58ZH","899,-","Acer","NX.GSXEH.011","17,3 inch","1920 x 1080 pixels","Intel Core i5 8250U","NVIDIA GeForce MX150","2000 MB","8 GB","128 GB SSD + 1 TB HDD","42,33 cm x 28,99 cm x 2,83 cm","3 kg"
Laptops QWERTY,"Medion Erazer P7643-i7-1628","999,-","Medion","30020578","17,3 inch","1920 x 1080 pixels","Intel Core i7 6500U","NIVIDIA GeForce GTX 950M","4000 MB","12 GB","128 GB SSD + 1,5 GB HDD","42 cm x 27,9 cm x 2,8 cm","2,59 kg"
Laptops QWERTY,"Acer Predator Helios 300 G3-572-76M9","1.599,-","Acer","NH.Q2BEH.001","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1060","6000 MB","16 GB","256 GB SSD + 1 TB HDD","39 cm x 26,6 cm x 2,6 cm","2,7 kg"
Laptops QWERTY,"Medion Akoya E2225T 64GB Wit","279,-","Medion","30023159","11,6 inch","1366 x 768 pixels","Intel Atom Z8350","Intel HD Graphics 400","None","2 GB","64 GB SSD","27,8 cm x 19,9 cm x 1,83 cm","1,18 kg"
Laptops QWERTY,"Apple MacBook Air 13,3'' (2017) 8/128 GB - 2,2GHz","1.279,-","Apple","791420","13,3 inch","1440 x 900 pixels","Intel Core i7 5650U","Intel HD Graphics 6000","None","8 GB","128 GB SSD","32,5 cm x 22,7 cm x 1,7 cm","1,35 kg"
Laptops QWERTY,"Acer Swift 3 SF314-51-79L3","1.089,-","Acer","NX.GKBEH.018","14 inch","1920 x 1080 pixels","Intel Core i7 7500U","Intel HD Graphics 620","None","8 GB","512 GB SSD","34,1 cm x 23,6 cm x 1,795 cm","1,5 kg"
Laptops QWERTY,"HP 15-bs020nd","549,-","HP","1UZ61EA#ABH","15,6 inch","1920 x 1080 pixels","Intel Core i3 6006U","Intel HD Graphics 520","None","4 GB","128 GB SSD","38 cm x 25,38 cm x 2,38 cm","1,91 kg"
Laptops QWERTY,"Asus Gaming ROG Strix GL553VE-FY264T","1.499,-","Asus","90NB0DX3-M03670","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050Ti","4000 MB","16 GB","256 GB SSD + 1TB HDD","38,3 cm x 25,5 cm x 3 cm","2,5 kg"
Laptops QWERTY,"Asus Chromebook C302CA-GU006","589,-","Asus","90NB0DF1-M00280","12,5 inch","1920 x 1080 pixels","Intel Pentium 4405Y","Intel HD Graphics 515","None","4 GB","32 GB Flash","30,4 cm x 21 cm x 1,37 cm","1,002 kg"
Laptops QWERTY,"Medion Akoya S6219W White 128","349,-","Medion","30022668","15,6 inch","1920 x 1080 pixels","Intel Celeron N3060","Intel HD Graphics 400","None","4 GB","128 GB SSD","38 cm x 25,3 cm x 2,1 cm","1,65 kg"
Laptops QWERTY,"HP ZBook 15u G3 T7W11ET","919,-","HP","T7W11ET","15,6 inch","1920 x 1080 pixels","Intel Core i7 6500U","AMD FirePro W4190M","2000 MB","8 GB","1 TB HDD","38,3 cm x 25,8 cm x 2 cm","1,9 kg"
Laptops QWERTY,"HP Pavilion 15-cc526nd","999,-","HP","1VA14EA#ABH","15,6 inch","1920 x 1080 pixels","Intel Core i5 7200U","NVIDIA GeForce 940MX","2000 MB","8 GB","512 GB SSD","37,8 cm x 25,21 cm x 1,99 cm","1,82 kg"
Laptops QWERTY,"Apple MacBook Pro 13'' Touch Bar (2016) MPDL2N/A Zilver","2.399,-","Apple","MPDL2N/A","13,3 inch","2560 x 1600 pixels","Intel Core i7 6567U","Intel Iris Plus Graphics 650","None","16 GB","512 GB SSD","30,41 cm x 21,24 cm x 1,49 cm","1,37 kg"
Laptops QWERTY,"Asus ZenBook Flip S UX370UA-C4147T","1.199,-","Asus","90NB0EN1-M02580","13,3 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB SSD","31,1 cm x 21,1 cm x 1,12 cm","1,1 kg"
Laptops QWERTY,"HP ProBook 430 G4 i3-8gb-128ssd","814,-","HP","748191","13,3 inch","1920 x 1920  x 1080  x 1080 pixels","Intel Core i3 7100U","Intel HD Graphics 620","None","8 GB","128 GB SSD","33 cm x 23,35 cm x 1,98 cm","1,49 kg"
Laptops QWERTY,"Acer Spin 5 SP513-51-79TA","999,-","Acer","NX.GK4EH.005","13,3 inch","1920 x 1080 pixels","Intel Core i7 7500U","Intel HD Graphics 620","None","8 GB","512 GB SSD","32,88 cm x 22,85 cm x 1,97 cm","None"
Laptops QWERTY,"Acer Switch SW312-31-P9XJ","599,-","Acer","NT.LDREH.007","12 inch","1920 x 1200 pixels","Intel Pentium N4200","Intel HD Graphics 505","None","4 GB","64 GB Flash","29,2 cm x 20,1 cm x 1,58 cm","1,25 kg"
Laptops QWERTY,"Microsoft Surface Pro - i7 - 8 GB - 256 GB","1.799,-","Microsoft","FJZ-00003","12,3 inch","2736 x 1824 pixels","Intel Core i7 7660U","Intel Iris Plus Graphics 640","None","8 GB","256 GB SSD","29,2 cm x 20,1 cm x 8,5 cm","0,768 kg"
Laptops QWERTY,"Asus VivoBook Flip TP501UA-FZ186T","999,-","Asus","90NB0AI1-M02900","15,6 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","128 GB SSD + 1 TB HDD","37,7 cm x 25,3 cm x 2,25 cm","2,2 kg"
Laptops QWERTY,"Asus VivoBook R541NA-DM198T","499,-","Asus","90NB0E83-M02730","15,6 inch","1920 x 1080 pixels","Intel Pentium N4200","Intel HD Graphics 505","None","8 GB","128 GB SSD","38,1 cm x 25,2 cm x 2,76 cm","2 kg"
Laptops QWERTY,"Dell XPS 13 9360-HVW8J","1.849,-","Dell","BNX93607P","13,3 inch","3200 x 1800 pixels","Intel Core i7 7500U","Intel HD Graphics 620","None","16 GB","512 GB SSD","30,4 cm x 20 cm x 1,5 cm","1,29 kg"
Laptops QWERTY,"Toshiba Satellite Pro A50-C-20C","999,-","Toshiba","PS57DE-01901PDU","15,6 inch","1920 x 1080 pixels","Intel Core i7 6500U","NVIDIA GeForce 930M","2 MB","8 GB","256 GB SSD","37,9 cm x 25,8 cm x 2,395 cm","2,1 kg"
Laptops QWERTY,"HP Omen 17-an031nd","1.499,-","HP","1VY94EA#ABH","17,3 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","4000 MB","16 GB","256 GB SSD + 1 TB HDD","42,3 cm x 30,4 cm x 3,3 cm","3,78 kg"
Laptops QWERTY,"Acer Chromebook 14 CP5-471-33PC","449,-","Acer","NX.GE8EH.002","14 inch","1920 x 1080 pixels","Intel Core i3 6100U","Intel HD Graphics 520","None","4 GB","32 GB flash","33 cm x 22,7 cm x 2,2 cm","1,45 kg"
Laptops QWERTY,"Lenovo Ideapad 320-15IAP 80XR00NJMH","399,-","Lenovo","80XR00NJMH","15,6 inch","1920 x 1080 pixels","Intel Celeron N3350","Intel HD Graphics 500","None","4 GB","128 GB SSD","37,8 cm x 26 cm x 2,29 cm","2,2 kg"
Laptops QWERTY,"Asus VivoBook R752SA-TY135T","449,-","Asus","90NB07M1-M03810","17,3 inch","1600 x 900 pixels","Intel Celeron N3060","Intel HD Graphics 400","None","4 GB","1000 GB HDD","41,5 cm x 27,2 cm x 3,55 cm","2,8 kg"
Laptops QWERTY,"Lenovo ThinkPad X1 Carbon 20HR0021MH","1.599,-","Lenovo","20HR0021MH","14 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB SSD","32,35 cm x 21,71 cm x 1,595 cm","1,13 kg"
Laptops QWERTY,"HP Pavilion Power 15-cb001nd","1.099,-","HP","1UZ76EA#ABH","15,6 inch","1920 x 1080 pixels","Intel Core i5 7300HQ","NVIDIA GeForce GTX 1050","2000 MB","8 GB","256 GB SSD + 1 TB HDD","37,8 cm x 25,22 cm x 2,41 cm","2,21 kg"
Laptops QWERTY,"HP 15-bw052nd","699,-","HP","1VN12EA#ABH","15,6 inch","1920 x 1080 pixels","AMD A12 9720P","AMD Radeon 530 Graphics","None","8 GB","128 GB SSD + 1 TB HDD","38 cm x 25,38 cm x 2,38 cm","2,1 kg"
Laptops QWERTY,"Dell XPS 15 CNX95601","1.499,-","Dell","CNX95601","15,6 inch","1920 x 1080 pixels","Intel Core i5 7300HQ","NVIDIA GeForce GTX 1050","4000 MB","8 GB","32 GB SSD + 1 TB HDD","35,7 cm x 23,5 cm x 1,7 cm","1,8 kg"
Laptops QWERTY,"Asus ZenBook Flip UX360UAK-DQ405R","1.399,-","Asus","90NB0C03-M10230","13,3 inch","3200 x 1800 pixels","Intel Core i7 7500U","Intel HD Graphics 620","None","8 GB","512 GB SSD","32,1 cm x 21,9 cm x 1,39 cm","1,27 kg"
Laptops QWERTY,"HP Chromebook 11 G5 X0N99EA","349,-","HP","X0N99EA#ABH","11,6 inch","1366 x 768 pixels","Intel Celeron N3050","Intel HD Graphics 400","None","4 GB","32 GB Flash","20,5 cm x 28,6 cm x 1,84 cm","1,14 kg"
Laptops QWERTY,"Toshiba Satellite Pro A50-D-14M","849,-","Toshiba","PS585E-01E008DU","15,6 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","128 GB SSD","37,9 cm x 25,8 cm x 2,93 cm","2,1 kg"
Laptops QWERTY,"Apple MacBook 12'' (2017) MNYF2N/A Space Gray","1.492,-","Apple","MNYF2N/A","12 inch","2304 x 1440 pixels","Intel Core m3 None","Intel HD Graphics 615","None","8 GB","256 GB SSD","28,05 cm x 19,65 cm x 1,31 cm","0,92 kg"
Laptops QWERTY,"Asus Gaming ROG Strix GL502VS-FI407T","2.499,-","Asus","90NB0DD6-M05680","15,6 inch","3840 x 2160 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1070","8000 MB","32 GB","512 GB SSD + 1 TB HDD","39 cm x 26,6 cm x 3,01 cm","2,34 kg"
Laptops QWERTY,"Apple MacBook Pro 13'' (2017) 16/256 GB - 2,3Ghz Space Gray","1.989,-","Apple","791429","13,3 inch","2560 x 1600 pixels","Intel Core i5 7360U","Intel Iris Plus Graphics 640","None","16 GB","256 GB SSD","30,41 cm x 21,24 cm x 1,49 cm","1,37 kg"
Laptops QWERTY,"MSI GE73VR 7RE-009NL","1.949,-","MSI","GE73VR 7RE-009NL","17,3 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1060","6000 MB","16 GB","256 GB SSD + 1 TB HDD","41,9 cm x 28,5 cm x 2,85 cm","2,8 kg"
Laptops QWERTY,"Microsoft Surface Pro - i7 - 16 GB - 512 GB","2.499,-","Microsoft","FKH-00003","12,3 inch","2736 x 1824 pixels","Intel Core i7 7660U","Intel Iris Plus Graphics 640","None","16 GB","512 GB SSD","29,2 cm x 20,1 cm x 8,5 cm","0,768 kg"
Laptops QWERTY,"MSI GV62M 7RD-1686NL","999,-","MSI","GV62M 7RD-1686NL","15,6 inch","1920 x 1080 pixels","Intel Core i5 7300HQ","NVIDIA GeForce GTX 1050","4000 MB","8 GB","256 GB SSD","38,3 cm x 26 cm x 2,9 cm","None"
Laptops QWERTY,"HP Probook 440 G4 Y7Z67ET","1.009,-","HP","Y7Z67ET","14 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","128 GB SSD","34,34 cm x 23,94 cm x 2,19 cm","1,64 kg"
Laptops QWERTY,"Acer Predator Helios 300 G3-572-71SP","1.349,-","Acer","NH.Q2CEH.001","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050Ti","4000 MB","16 GB","256 GB SSD + 1 TB HDD","39 cm x 26,6 cm x 2,6 cm","2,7 kg"
Laptops QWERTY,"Acer Chromebook R11 CB5-132T-C0KZ","279,-","Acer","NX.GNWEH.001","11,6 inch","1366 x 768 pixels","Intel Celeron N3060","Intel HD Graphics 400","None","2 GB","16 GB Flash","29,4 cm x 20,4 cm x 1,92 cm","1,4 kg"
Laptops QWERTY,"Dell XPS 15 9550-330PK","1.229,-","Dell","330PK","15,6 inch","1920 x 1080 pixels","Intel Core i5 6300HQ","NVIDIA GeForce GTX 960M","4000 MB","8 GB","32 GB Flash + 1 TB HDD","35,7 cm x 23,5 cm x 1,7 cm","1,78 kg"
Laptops QWERTY,"HP Probook 450 G4 Y8A30ET","1.189,-","HP","Y8A30ET","15,6 inch","1920 x 1080 pixels","Intel Core i7 7500U","Intel HD Graphics 620","None","8 GB","256 GB SSD","38,2 cm x 26,3 cm x 2,44 cm","2,04 kg"
Laptops QWERTY,"Medion Akoya E6421-i5-1628","749,-","Medion","30022585","15,6 inch","1920 x 1080 pixels","Intel Core i5 6200U","Intel HD Graphics 520","None","8 GB","128 GB SSD + 1,5 TB HDD","38 cm x 26 cm x 2,49 cm","2,16 kg"
Laptops QWERTY,"Apple MacBook Pro 15'' Touch Bar (2017) MPTV2N/A Silver","3.257,-","Apple","MPTV2N/A","15,4 inch","2880 x 1800 pixels","Intel Core i7 None","AMD Radeon Pro 560","4000 MB","16 GB","512 GB SSD","34,93 cm x 24,07 cm x 1,55 cm","1,83 kg"
Laptops QWERTY,"Asus VivoBook R702NA-BX032T","449,-","Asus","90NB0FP2-M00340","17,3 inch","1600 x 900 pixels","Intel Celeron N3350","Intel HD Graphics 500","None","4 GB","128 GB SSD","41,1 cm x 27 cm x 2,3 cm","2,1 kg"
Laptops QWERTY,"Acer Chromebook 14 CP5-471-53B9","491,94","Acer","NX.GDDEH.002","14 inch","1920 x 1080 pixels","Intel Core i5 6200U","Intel HD Graphics 520","None","4 GB","64 GB Flash","33,09 cm x 22,7 cm x 2,24 cm","1,45 kg"
Laptops QWERTY,"HP ProBook 450 G4 i7-8gb-128ssd+1tb-930mx","1.149,-","HP","784414","15,6 inch","1920 x 1080 pixels","Intel Core i7 7500U","NVIDIA GeForce 930MX","2000 MB","8 GB","128 GB SSD + 1 TB HDD","38,2 cm x 26,3 cm x 2,44 cm","2 kg"
Laptops QWERTY,"HP X360 11-ab011nd","449,-","HP","1NA74EA#ABH","11,6 inch","1366 x 768 pixels","Intel Celeron N3060","Intel HD Graphics 400","None","4 GB","500 GB HDD","30,6 cm x 20,8 cm x 1,98 cm","1,35 kg"
Laptops QWERTY,"Apple MacBook Pro 15'' Touch Bar (2016) MLH52N/A Space Gray","3.199,-","Apple","MLH52N/A","15,4 inch","2880 x 1800 pixels","Intel Core i7 6929HQ","AMD Radeon Pro 455","2000 MB","16 GB","1 TB SSD","34,93 cm x 24,07 cm x 1,55 cm","1,83 kg"
Laptops QWERTY,"HP ProBook 650 G3 Z2X35ET","1.349,-","HP","Z2X35ET#ABH","15,6 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB SSD","37,8 cm x 25,7 cm x 2,74 cm","2,31 kg"
Laptops QWERTY,"Lenovo ThinkPad Yoga 370 20JH002KMH","1.399,-","Lenovo","20JH002KMH","13,3 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB SSD","31,35 cm x 22,22 cm x 1,82 cm","1,37 kg"
Laptops QWERTY,"Apple MacBook 12'' (2017) MNYM2N/A Rose Gold","1.499,-","Apple","MNYM2N/A","12 inch","2304 x 1440 pixels","Intel Core m3 7Y32","Intel HD Graphics 615","None","8 GB","256 GB SSD","28,05 cm x 19,65 cm x 1,31 cm","0,92 kg"
Laptops QWERTY,"HP ProBook 470 G4 Y8A82ET","1.189,-","HP","Y8A82ET","17,3 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB SSD","41,68 cm x 28 cm x 2,58 cm","2,63 kg"
Laptops QWERTY,"Medion Erazer X6603-i7-1128","1.349,-","Medion","30022682","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050Ti","4000 MB","16 GB","128 GB SSD + 1 TB HDD","38 cm x 27 cm x 2,7 cm","2,6 kg"
Laptops QWERTY,"Apple MacBook Pro 13'' Touch Bar (2017) 16/256 GB - 3,1Ghz Space Gray","2.239,-","Apple","791434","13,3 inch","2560 x 1600 pixels","Intel Core i5 7267U","Intel Iris Plus Graphics 650","None","16 GB","256 GB SSD","30,41 cm x 21,24 cm x 1,49 cm","1,37 kg"
Laptops QWERTY,"Apple MacBook Pro 13'' Touch Bar (2017) 16/256 GB - 3,1Ghz Silver","2.239,-","Apple","791435","13,3 inch","2560 x 1600 pixels","Intel Core i5 7267U","Intel Iris Plus Graphics 650","None","16 GB","256 GB SSD","30,41 cm x 21,24 cm x 1,49 cm","1,37 kg"
Laptops QWERTY,"Medion Akoya P7645-i5-256","779,-","Medion","30022215","17,3 inch","1600 x 900 pixels","Intel Core i5 7200U","NVIDIA GeForce 940MX","2000 MB","8 GB","256 GB SSD","42 cm x 27,9 cm x 2,8 cm","2,7 kg"
Laptops QWERTY,"MSI GP72MVR 7RFX-498NL Leopard Pro","1.599,-","MSI","GP72MVR 7RFX-498NL","17,3 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1060","3000 MB","8 GB","256 GB SSD + 1 TB HDD","41,9 cm x 28,7 cm x 3,05 cm","2,7 kg"
Laptops QWERTY,"HP Chromebook 13 Pro G1 T6R48EA","749,-","HP","T6R48EA#ABH","13,3 inch","3200 x 1800 pixels","Intel Core m3 6Y30","Intel HD Graphics 515","None","4 GB","32 GB Flash","32 cm x 21,96 cm x 1,29 cm","1,3 kg"
Laptops QWERTY,"HP Omen 15-ce032nd","1.399,-","HP","1VQ28EA#ABH","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","2000 MB","16 GB","256 GB SSD + 1 TB HDD","38,85 cm x 27,55 cm x 2,48 cm","2,62 kg"
Laptops QWERTY,"Asus Chromebook C201PA-FD0009","269,-","Asus","90NL0912-M00510","11,6 inch","1366 x 768 pixels","Rockchip 3288c","Mali T764","None","4 GB","16 GB Flash","28,7 cm x 19,4 cm x 1,79 cm","0,9 kg"
Laptops QWERTY,"Acer Aspire R3-131T-C9R5","299,-","Acer","NX.G11EH.011","11,6 inch","1366 x 768 pixels","Intel Celeron N3160","Intel HD Graphics","None","2 GB","32 GB Flash","29,8 cm x 21,1 cm x 2,09 cm","1,58 kg"
Laptops QWERTY,"Asus ZenBook Pro UX550VE-BN050T","2.199,-","Asus","90NB0ES2-M01050","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050Ti","4000 MB","16 GB","1 TB SSD","36,7 cm x 25,1 cm x 1,89 cm","1,8 kg"
Laptops QWERTY,"Asus VivoBook Pro N580VD-E4380R","1.249,-","Asus","90NB0FL1-M05750","15,6 inch","1920 x 1080 pixels","Intel Core i5 7300HQ","NVIDIA GeForce GTX 1050","2000 MB","8 GB","256 GB SSD","38 cm x 25,6 cm x 1,92 cm","1,99 kg"
Laptops QWERTY,"Asus VivoBook R541UA-DM1209T","529,-","Asus","90NB0CF3-M18340","15,6 inch","1920 x 1080 pixels","Intel Core i3 6006U","Intel HD Graphics 520","None","4 GB","128 GB SSD","38,1 cm x 25,2 cm x 2,76 cm","2 kg"
Laptops QWERTY,"Asus ROG Strix GL753VD-GC097T","1.049,-","Asus","90NB0DM2-M01360","17,3 inch","1920 x 1080 pixels","Intel Core i5 7300HQ","NVIDIA GeForce GTX 1050","2000 MB","8 GB","1 TB HDD","41,5 cm x 27,3 cm x 3,2 cm","3 kg"
Laptops QWERTY,"MSI GL62M 7REX-1269NL","1.199,-","MSI","GL62M 7REX-1269NL","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050Ti","2000 MB","8 GB","128 GB SSD + 1 TB HDD","38,3 cm x 26 cm x 2,8 cm","2,4 kg"
Laptops QWERTY,"Asus Gaming ROG Strix GL553VD-FY827T","1.299,-","Asus","90NB0DW3-M12880","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","2000 MB","8 GB","256 GB SSD + 1TB HDD","38,3 cm x 25,5 cm x 3 cm","2,5 kg"
Laptops QWERTY,"Medion Akoya E1239T","279,-","Medion","30022655","10,1 inch","1920 x 1200 pixels","Intel Atom Z8350","Intel HD Grahpics 400","None","2 GB","64 GB SSD","25,8 cm x 18,8 cm x 1,8 cm","1,009 kg"
Laptops QWERTY,"Apple MacBook 12'' (2017) MNYH2N/A Silver","1.499,-","Apple","MNYH2N/A","12 inch","2304 x 1440 pixels","Intel Core m3 None","Intel HD Graphics 615","None","8 GB","256 GB SSD","28,05 cm x 19,65 cm x 1,31 cm","0,92 kg"
Laptops QWERTY,"Apple MacBook Pro 13'' Touch Bar (2017) MPXX2N/A Silver","1.999,-","Apple","MPXX2N/A","13,3 inch","2560 x 1600 pixels","Intel Core i5 7267U","Intel Iris Plus Graphics 650","None","8 GB","256 GB SSD","30,41 cm x 21,24 cm x 1,49 cm","1,37 kg"
