product_type,product_name,product_price,product_brand,product_model,product_screen,product_screenres,product_cpu,product_graphicscard,product_graphicsmemory,product_memory,product_storage,product_dimensions,product_weight
Laptops QWERTY,"Toshiba Satellite L50-C-24T","599,-","Toshiba","PSKWNE-0F3039DU","15,6 inch","1920 x 1080 pixels","Intel Core i5 5200U","Intel HD Graphics 5500","None","6 GB","None","25,99 cm x 38 cm x 2,35 cm","2,2 kg"
Laptops QWERTY,"Dell Vostro 15 3558 3CD6X","469,-","Dell","DEL-3CD6X-NL","15,6 inch","1366 x 768 pixels","Intel Core i3 5005U","Intel HD Graphics 5500","None","4 GB","500 GB HD","38 cm x 26,04 cm x 2,37 cm","2,24 kg"
Laptops QWERTY,"HP Omen 17-w121nd","1.899,-","HP","Y5V02EA#ABH","17,3 inch","1920 x 1080 pixels","Intel Core i7 6700HQ","NVIDIA GeForce GTX 1070","8000 MB","16 GB","512 GB SSD","41,6 cm x 27,9 cm x 3,29 cm","3,35 kg"
Laptops QWERTY,"Toshiba Satellite L70-C-13U","899,-","Toshiba","PSKZEE-04601GDU","17,3 inch","1920 x 1080 pixels","Intel Core i7 5500U","NVIDIA GeForce 930M","2000 MB","8 GB","8 GB","41,27 cm x 27,94 cm x 2,65 cm","2,6 kg"
Laptops QWERTY,"Apple MacBook 12'' 256 GB Silver","1.249,-","Apple","MLHA2N/A","12 inch","2304 x 1440 pixels","Intel Core m3 6Y30","Intel HD Graphics 515","None","8 GB","256 GB SSD","28,05 cm x 19,65 cm x 1,31 cm","0,92 kg"
Laptops QWERTY,"Apple MacBook 12'' 512 GB Rose Gold","1.499,-","Apple","MMGM2N/A","12 inch","2304 x 1440 pixels","Intel Core m5 6Y54","Intel HD Graphics 515","None","8 GB","512 GB SSD","28,05 cm x 19,65 cm x 1,31 cm","0,92 kg"
Laptops QWERTY,"MSI GL62M 7RD-204NL","999,-","MSI","GL62M 7RD-204NL","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","2000 MB","8 GB","1 TB HDD","38,3 cm x 26 cm x 2,8 cm","2,4 kg"
Laptops QWERTY,"Lenovo Yoga 700-14ISK 80QD009JMH","699,-","Lenovo","80QD009JMH","14 inch","1920 x 1080 pixels","Intel Core i5 6200U","Intel HD Graphics","None","8 GB","500 GB harde schijf + 8 GB Cache-SSD","33,5 cm x 22,9 cm x 1,83 cm","1,7 kg"
Laptops QWERTY,"HP Pavilion Gaming 15-ak040nd","1.199,-","HP","N9R95EA#ABH","15,6 inch","1920 x 1080 pixels","Intel Core i7 6700HQ","NVIDIA GeForce GTX 950M","4000 MB","8 GB","None","38,45 cm x 26,51 cm x 2,88 cm","2,32 kg"
Laptops QWERTY,"Apple MacBook 12'' 512 GB Gold","1.499,-","Apple","MLHF2N/A","12 inch","2304 x 1440 pixels","Intel Core m5 6Y54","Intel HD Graphics 515","None","8 GB","512 GB SSD","28,05 cm x 19,65 cm x 1,31 cm","0,92 kg"
